6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
41,0
42,0
43,0
44,0
4,1
5,1
6,1
11,1
12,1
13,1
15,1
16,1
17,1
23,1
24,1
25,1
27,1
28,1
29,1
34,1
35,1
36,1
38,1
39,1
40,1
41,1
42,1
43,1
3,2
4,2
5,2
21,2
22,2
23,2
33,2
34,2
35,2
39,2
40,2
41,2
42,2
2,3
3,3
4,3
5,3
6,3
7,3
8,3
9,3
10,3
19,3
20,3
21,3
29,3
30,3
31,3
32,3
33,3
38,3
39,3
40,3
41,3
1,4
2,4
3,4
8,4
9,4
10,4
17,4
18,4
19,4
31,4
32,4
33,4
37,4
38,4
39,4
40,4
0,5
1,5
2,5
7,5
8,5
9,5
15,5
16,5
17,5
23,5
24,5
25,5
30,5
31,5
32,5
36,5
37,5
38,5
39,5
0,6
1,6
2,6
3,6
4,6
5,6
6,6
7,6
14,6
15,6
16,6
23,6
24,6
25,6
26,6
27,6
28,6
29,6
30,6
33,6
34,6
35,6
36,6
37,6
38,6
39,6
